"id","created","modified","name1","name2","keywords","lat","lon"
1017,"2016-06-30 10:34:08.0","2017-09-01 09:13:14.0","Academic Surge B","220 Tower Road","PC,Audacity,Adobe Acrobat Distiller,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe ExtendScript Toolkit,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,AutoCAD,Microsoft Access,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,Matlab,Minitab,R,Stella,Microsoft Excel,CIT,Premier AT",42.447735,-76.478368
997,"2011-07-06 12:06:29.0","2017-08-31 12:16:10.0","ACCEL - 104 Blue Room","104 Carpenter Hall","PC,Adobe Acrobat Distiller,AutoCAD,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,ANSYS,CES EduPack,Comsol,Matlab,National Instruments LabView,Solidworks,Minitab,Stella,Microsoft Excel,Scanner,Net-Print Black and White,Net-Print Color,CIT,SSH Secure Shell,Microsoft Access,Microsoft Word,Premier AT,Adobe Bridge,Adobe Dreamweaver,Adobe ExtendScript Toolkit,Adobe Extension Manager,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,Adobe AfterEffects,R",42.444797,-76.484306
1030,"2016-07-06 10:39:32.0","2017-08-31 12:15:54.0","ACCEL - Green Room","237 Green Room","PC,Audacity,Adobe Acrobat Distiller,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe ExtendScript Toolkit,Adobe Extension Manager,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,Google Sketchup,Microsoft Access,Microsoft InfoPath,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,ANSYS,CES EduPack,Comsol,Matlab,National Instruments LabView,Solidworks,Minitab,Stella,Microsoft Excel,Net-Print Black and White,Net-Print Color,CIT,Premier AT,AutoCAD",42.444799,-76.484269
1031,"2016-07-06 10:44:57.0","2017-08-31 12:20:42.0","ACCEL - Orange Room","236 Orange Room","PC,Audacity,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe ExtendScript Toolkit,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,AutoCAD,Microsoft Access,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,ANSYS,CES EduPack,Comsol,Matlab,National Instruments LabView,Solidworks,Minitab,Stella,Microsoft Excel,Net-Print Black and White,Net-Print Color,CIT,Premier AT,R",42.444803,-76.48424
1032,"2016-07-06 10:48:54.0","2017-08-31 12:23:08.0","ACCEL - Red Room","235 Carpenter Hall","PC,Audacity,Adobe Acrobat Distiller,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe ExtendScript Toolkit,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,AutoCAD,Microsoft Access,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,ANSYS,CES EduPack,Comsol,Matlab,National Instruments LabView,Solidworks,Minitab,Stella,Microsoft Excel,Net-Print Black and White,Net-Print Color,CIT,Premier AT,R",42.444809,-76.484212
1015,"2016-06-30 09:52:25.0","2017-08-31 12:15:39.0","Accel - Sunset Room","First Floor","PC,Audacity,Adobe Acrobat Distiller,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe Fireworks,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Microsoft Access,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,ANSYS,CES EduPack,Comsol,Matlab,National Instruments LabView,Solidworks,Minitab,Stella,Microsoft Excel,Scanner,Net-Print Black and White,Net-Print Color,CIT,Premier AT,Adobe ExtendScript Toolkit,Adobe Extension Manager,AutoCAD,R,Logism",42.444741,-76.484149
759,"2010-05-11 18:00:15.0","2018-08-28 11:44:07.0","Africana Library","Africana Library","PC,Adobe Acrobat Reader,Microsoft Access,Microsoft PowerPoint,Microsoft Word,Microsoft Excel,Net-Print Black and White,CU Library,Windows Media Player,Notetab Light,Asian Reading/Writing,Laptops,VideoLAN,Google Sketchup,Microsoft InfoPath,Microsoft OneNote,Google Earth,R,Scanner,Microsoft Publisher,Premier AT,Adobe Acrobat Distiller,Adobe Acrobat Professional,Adobe AfterEffects,Adobe Bridge,Adobe Dreamweaver,Adobe Fireworks,Adobe Flash Professional,Adobe Illustrator,Adobe InDesign,Adobe Media Encoder,Adobe Photoshop,Adobe Premier Pro,STATA/Intercooled,Jaws",42.45737,-76.482173
1007,"2016-06-30 08:53:45.0","2016-08-19 10:37:57.0","Alice Cook House",,"PC,Adobe Acrobat Professional,Adobe Bridge,Adobe Dreamweaver,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Microsoft Access,Microsoft PowerPoint,Microsoft Word,Minitab,Microsoft Excel,CIT",42.448981,-76.489611
792,"2010-07-01 15:58:45.0","2016-08-19 10:36:26.0","Appel CIT Lab","Appel Commons","PC,Windows Media Player,Adobe Acrobat Professional,Microsoft Access,Microsoft Groove,Microsoft InfoPath,Microsoft OneNote,Microsoft PowerPoint,Microsoft Publisher,Microsoft Word,SSH Secure Shell,Minitab,Microsoft Excel,Net-Print Black and White,Net-Print Color,CIT",42.45364,-76.47613
1006,"2016-06-30 08:47:04.0","2016-08-19 10:39:56.0","Carl Becker House","Becker House, Ithaca NY 14853","Net-Print Black and White,CIT,PC",42.446351,-76.490202
